Date,USD,EUR,RUR
2014-10-24,12.950353,16.406802,0.31209
2014-10-27,12.950440,16.393962,0.30974
2014-10-28,12.950945,16.420503,0.30873
2014-10-29,12.952482,16.511824,0.30553
2014-10-30,12.952788,16.497966,0.30368
2014-10-31,12.950684,16.315272,0.29844
2014-11-03,12.950746,16.219514,0.30863
2014-11-04,12.953953,16.183373,0.30870
2014-11-05,13.497012,16.890161,0.32164
2014-11-06,13.955672,17.416679,0.31432
2014-11-07,14.470660,18.112925,0.32025
2014-11-10,14.804225,18.346876,0.30921
2014-11-11,15.771363,19.692124,0.34366
2014-11-12,15.749624,19.567333,0.34274
2014-11-13,15.560000,19.398652,0.33579
2014-11-14,15.412417,19.197707,0.33416
2014-11-17,15.335614,19.071370,0.32359
2014-11-18,15.260180,19.069121,0.32240
2014-11-19,15.200110,19.021418,0.32355
2014-11-20,15.146067,18.985595,0.32206
2014-11-21,15.096240,18.929175,0.32323
2014-11-24,15.060794,18.708518,0.32889
2014-11-25,15.007932,18.624844,0.33511
2014-11-26,14.973062,18.602532,0.33291
2014-11-27,14.966885,18.671189,0.32239
2014-11-28,14.969269,18.681648,0.31407
2014-12-01,15.056413,18.794920,0.30527
2014-12-02,15.106043,18.835725,0.29158
2014-12-03,15.185623,18.866618,0.29912
2014-12-04,15.296657,18.862308,0.28128
2014-12-05,15.415499,18.978021,0.29255
2014-12-08,15.525710,19.192883,0.29234
2014-12-09,15.577517,19.094920,0.29222
2014-12-10,15.646999,19.353773,0.28863
2014-12-11,15.672305,19.421120,0.28875
2014-12-12,15.710701,19.525259,0.28673
2014-12-15,15.760382,19.621676,0.27702
2014-12-16,15.773905,19.600654,0.27035
2014-12-17,15.778907,19.782016,0.25803
2014-12-18,15.768497,19.628625,0.23262
2014-12-19,15.769370,19.372671,0.26457
2014-12-22,15.854396,19.467613,0.26127
2014-12-23,15.661713,19.199694,0.27723
2014-12-24,15.770241,19.260195,0.28900
2014-12-25,15.770870,19.270426,0.28942
2014-12-26,15.768865,19.267976,0.29970
2014-12-29,15.768556,19.232908,0.30304
2015-01-06,15.779566,18.801353,0.28059
2015-01-08,15.755631,18.640487,0.28016
2015-01-09,15.749587,18.534114,0.28005
2015-01-12,15.757965,18.614884,0.28020
2015-01-13,15.767906,18.612436,0.25134
2015-01-14,15.771240,18.581675,0.24322
2015-01-15,15.776095,18.576352,0.23868
2015-01-16,15.797967,18.496260,0.24367
2015-01-17,15.876430,18.397607,0.24360
2015-01-19,15.807737,18.318006,0.24255
2015-01-20,15.772208,18.303647,0.24275
2015-01-21,15.784755,18.277168,0.24289
2015-01-22,15.767642,18.279427,0.24052
2015-01-23,15.792050,18.347204,0.24147
2015-01-26,15.810005,17.704044,0.24940
2015-01-27,15.899591,17.877500,0.24240
2015-01-28,15.869445,17.941995,0.23401
2015-01-29,15.954336,18.098599,0.23759
2015-01-30,16.157817,18.282570,0.23509
2015-02-02,16.146996,18.254179,0.23426
2015-02-03,16.241449,18.369079,0.23314
2015-02-04,16.728929,19.030830,0.24684
2015-02-05,17.999763,20.602529,0.27503
2015-02-06,23.130580,26.391992,0.33712
2015-02-09,24.956198,28.567360,0.37788
2015-02-10,24.840495,28.007658,0.37762
2015-02-11,25.558067,28.872948,0.39052
2015-02-12,25.099142,28.397169,0.37995
2015-02-13,25.918523,29.360503,0.39211
2015-02-16,26.049893,29.647383,0.40024
2015-02-17,26.358713,30.070020,0.42064
2015-02-18,26.799674,30.591828,0.42651
2015-02-19,27.357992,31.111509,0.43843
2015-02-20,27.858494,31.722467,0.44839
2015-02-23,28.348066,32.027645,0.45928
2015-02-24,28.291218,31.963418,0.45835
2015-02-25,28.046032,31.770545,0.44161
2015-02-26,30.010175,34.049545,0.47947
2015-02-27,27.763120,31.419523,0.45730
2015-03-02,26.858114,30.188520,0.43834
2015-03-03,24.820658,27.866153,0.39889
2015-03-04,23.771263,26.547747,0.38116
2015-03-05,23.090564,25.685943,0.37318
2015-03-06,22.897045,25.344739,0.37023
2015-03-10,21.735710,23.604981,0.36230
2015-03-11,21.552936,23.143543,0.35528
2015-03-12,21.553929,22.799746,0.34387
2015-03-13,21.616059,22.941123,0.35460
2015-03-16,21.770381,23.015647,0.35505
2015-03-17,22.246866,23.486016,0.35796
2015-03-18,23.296787,24.776133,0.37727
2015-03-19,23.394039,24.778966,0.38133
